time,bid,bidSize,ask,askSize,buyMO,sellMO,buySellImb,orderImb
1900-01-01 13:51:30,7917.5,50236,7918.0,197831,21999,512410,-490411,-147595
1900-01-01 13:51:45,7929.5,707719,7930.0,125910,311760,51404,260356,581809
1900-01-01 13:52:00,7929.5,18431,7931.5,11825,657888,90471,567417,6606
1900-01-01 13:52:15,7933.5,4515,7934.0,1204079,813327,136828,676499,-1199564
1900-01-01 13:52:30,7922.0,154435,7922.5,200553,51000,466162,-415162,-46118
1900-01-01 13:52:45,7922.5,330002,7923.0,290360,348316,2037,346279,39642
1900-01-01 13:53:00,7922.5,262787,7923.0,417875,71422,113954,-42532,-155088
1900-01-01 13:53:15,7918.0,13904,7919.0,708745,15916,243130,-227214,-694841
1900-01-01 13:53:30,7917.0,313778,7917.5,241325,179891,123220,56671,72453
1900-01-01 13:53:45,7928.0,191824,7928.5,487246,2081614,233134,1848480,-295422
1900-01-01 13:54:00,7923.0,982108,7923.5,24449,84775,87668,-2893,957659
1900-01-01 13:54:15,7926.0,650340,7926.5,31054,109736,5760,103976,619286
1900-01-01 13:54:30,7927.5,1106194,7928.0,108307,41381,48190,-6809,997887
1900-01-01 13:54:45,7926.0,246984,7926.5,658192,81285,67146,14139,-411208
1900-01-01 13:55:00,7923.0,107656,7923.5,762972,299174,438842,-139668,-655316
1900-01-01 13:55:15,7920.5,700216,7921.0,12377,255469,452759,-197290,687839
1900-01-01 13:55:30,7917.5,287848,7918.0,272445,138719,324313,-185594,15403
1900-01-01 13:55:45,7920.5,568679,7921.0,25636,914618,31728,882890,543043
1900-01-01 13:56:00,7917.0,240917,7917.5,778369,168895,278010,-109115,-537452
1900-01-01 13:56:15,7908.5,26257,7909.0,43900,75318,335992,-260674,-17643
1900-01-01 13:56:30,7908.5,90765,7909.0,138522,121304,961278,-839974,-47757
1900-01-01 13:56:45,7905.0,15463,7905.5,1249537,63795,315957,-252162,-1234074
1900-01-01 13:57:00,7855.0,391500,7873.0,722777,1162707,3090523,-1927816,-331277
1900-01-01 13:57:15,7908.5,7908,7910.5,116,4245817,810611,3435206,7792
1900-01-01 13:57:30,7904.0,147109,7904.5,198711,528024,455288,72736,-51602
1900-01-01 13:57:45,7894.5,136966,7895.0,817572,806611,370899,435712,-680606
1900-01-01 13:58:00,7894.5,292270,7895.0,1972823,310113,161900,148213,-1680553
