time,bid,bidSize,ask,askSize,buyMO,sellMO,buySellImb,orderImb,spread
1900-01-25 22:22:15,8108.0,1029161,8108.5,741608,4024,30465,-26441,287553,0.5
1900-01-25 22:22:30,8108.0,995758,8108.5,658516,4157,142112,-137955,337242,0.5
1900-01-25 22:22:45,8108.0,1067138,8108.5,441788,135347,2633,132714,625350,0.5
1900-01-25 22:23:00,8108.0,851590,8108.5,591137,1012,74223,-73211,260453,0.5
1900-01-25 22:23:15,8091.5,338848,8092.0,181422,2701,955199,-952498,157426,0.5
1900-01-25 22:23:30,8091.5,445035,8092.0,341457,5040,60151,-55111,103578,0.5
1900-01-25 22:23:45,8091.5,456615,8092.0,353623,4008,28475,-24467,102992,0.5
1900-01-25 22:24:00,8095.5,322257,8096.0,34278,37847,6214,31633,287979,0.5
1900-01-25 22:24:15,8096.5,639802,8097.0,79420,45617,2173,43444,560382,0.5
1900-01-25 22:24:30,8096.5,779567,8097.0,11860,35815,1452,34363,767707,0.5
1900-01-25 22:24:45,8096.5,194348,8097.0,462624,7550,4808,2742,-268276,0.5
1900-01-25 22:25:00,8096.5,311522,8097.0,548080,1682,18854,-17172,-236558,0.5
1900-01-25 22:25:15,8096.5,104866,8097.0,638020,26455,33775,-7320,-533154,0.5
1900-01-25 22:25:30,8096.5,186862,8097.0,625565,1130,17251,-16121,-438703,0.5
1900-01-25 22:25:45,8096.5,112457,8097.0,725185,50,5979,-5929,-612728,0.5
1900-01-25 22:26:00,8096.5,116800,8097.0,727063,1440,19826,-18386,-610263,0.5
1900-01-25 22:26:15,8096.5,219823,8097.0,810865,484,11500,-11016,-591042,0.5
1900-01-25 22:26:30,8096.5,568484,8097.0,343003,6345,3707,2638,225481,0.5
1900-01-25 22:26:45,8096.5,646899,8097.0,358210,12900,13064,-164,288689,0.5
1900-01-25 22:27:00,8096.5,134024,8097.0,879086,35591,8517,27074,-745062,0.5
1900-01-25 22:27:15,8096.5,1168985,8097.0,831183,6023,21399,-15376,337802,0.5
1900-01-25 22:27:30,8096.5,1108066,8097.0,853100,151,1590,-1439,254966,0.5
1900-01-25 22:27:45,8096.5,1036116,8097.0,802966,1951,9333,-7382,233150,0.5
1900-01-25 22:28:00,8096.5,1035266,8097.0,1032117,1951,69650,-67699,3149,0.5
1900-01-25 22:28:15,8096.5,914817,8097.0,1051568,4675,54600,-49925,-136751,0.5
1900-01-25 22:28:30,8092.5,366429,8093.0,685654,6240,106436,-100196,-319225,0.5
1900-01-25 22:28:45,8090.0,402229,8090.5,784832,6240,531625,-525385,-382603,0.5
1900-01-25 22:29:00,8090.0,232377,8090.5,930411,126,185267,-185141,-698034,0.5
1900-01-25 22:29:15,8089.0,18333,8089.5,1048377,6,233713,-233707,-1030044,0.5
1900-01-25 22:29:30,8089.0,333925,8089.5,637013,79,19814,-19735,-303088,0.5
1900-01-25 22:29:45,8088.5,335475,8089.0,653024,28,82271,-82243,-317549,0.5
1900-01-25 22:30:00,8088.5,369031,8089.0,402375,50948,4200,46748,-33344,0.5
1900-01-25 22:30:15,8088.5,443171,8089.0,436561,25161,3050,22111,6610,0.5
1900-01-25 22:30:30,8088.5,696670,8089.0,418023,22689,3050,19639,278647,0.5
1900-01-25 22:30:45,8088.5,1742979,8089.0,354623,7601,1100,6501,1388356,0.5
1900-01-25 22:31:00,8094.5,511307,8095.0,18709,87117,12,87105,492598,0.5
1900-01-25 22:31:15,8095.5,3942,8096.0,730203,28740,6762,21978,-726261,0.5
1900-01-25 22:31:30,8094.0,24868,8094.5,1145232,827,3081,-2254,-1120364,0.5
1900-01-25 22:31:45,8093.0,117155,8093.5,961513,1300,12108,-10808,-844358,0.5
1900-01-25 22:32:00,8087.0,254719,8087.5,537151,472,111072,-110600,-282432,0.5
1900-01-25 22:32:15,8087.0,17719,8087.5,1075813,11966,33979,-22013,-1058094,0.5
1900-01-25 22:32:30,8077.5,112770,8078.0,1052014,2262,281852,-279590,-939244,0.5
1900-01-25 22:32:45,8077.5,535210,8078.0,126081,11350,85351,-74001,409129,0.5
1900-01-25 22:33:00,8077.5,690290,8078.0,247061,33390,4860,28530,443229,0.5
1900-01-25 22:33:15,8077.5,894288,8078.0,33444,37927,18750,19177,860844,0.5
1900-01-25 22:33:30,8081.5,294817,8082.0,380082,14505,18136,-3631,-85265,0.5
1900-01-25 22:33:45,8081.5,776139,8082.0,30885,17152,38287,-21135,745254,0.5
1900-01-25 22:34:00,8083.0,760914,8083.5,224,48204,18216,29988,760690,0.5
1900-01-25 22:34:15,8084.0,628842,8084.5,12435,6636,2371,4265,616407,0.5
1900-01-25 22:34:30,8085.5,673236,8086.0,18045,6534,2371,4163,655191,0.5
1900-01-25 22:34:45,8086.0,667453,8086.5,46522,32570,500,32070,620931,0.5
1900-01-25 22:35:00,8086.0,267198,8086.5,481030,18286,64572,-46286,-213832,0.5
1900-01-25 22:35:15,8084.5,433950,8085.0,1037657,18286,114671,-96385,-603707,0.5
1900-01-25 22:35:30,8084.5,1046874,8085.0,1326130,7240,12844,-5604,-279256,0.5
1900-01-25 22:35:45,8084.5,1077214,8085.0,1365256,8020,3543,4477,-288042,0.5
1900-01-25 22:36:00,8084.5,1025611,8085.0,1394481,3211,2973,238,-368870,0.5
1900-01-25 22:36:15,8084.5,967795,8085.0,1373573,3211,59156,-55945,-405778,0.5
1900-01-25 22:36:30,8084.5,701783,8085.0,1504666,3211,276916,-273705,-802883,0.5
1900-01-25 22:36:45,8084.5,731308,8085.0,826028,2262,24232,-21970,-94720,0.5
1900-01-25 22:37:00,8078.0,13801,8078.5,460682,23313,84742,-61429,-446881,0.5
1900-01-25 22:37:15,8075.0,291630,8075.5,505836,6,68964,-68958,-214206,0.5
1900-01-25 22:37:30,8075.0,766809,8075.5,478413,18055,61211,-43156,288396,0.5
1900-01-25 22:37:45,8075.0,1532734,8075.5,3501,63374,4400,58974,1529233,0.5
1900-01-25 22:38:00,8075.5,872857,8076.0,81641,46072,25213,20859,791216,0.5
1900-01-25 22:38:15,8075.5,845432,8076.0,13643,30128,23430,6698,831789,0.5
1900-01-25 22:38:30,8076.0,1039217,8076.5,20245,22772,4750,18022,1018972,0.5
1900-01-25 22:38:45,8076.5,894047,8077.0,17978,14814,200,14614,876069,0.5
1900-01-25 22:39:00,8076.5,88750,8077.0,377801,13332,126133,-112801,-289051,0.5
1900-01-25 22:39:15,8076.0,165001,8076.5,903325,9782,108685,-98903,-738324,0.5
1900-01-25 22:39:30,8075.0,61661,8075.5,698958,437,14773,-14336,-637297,0.5
1900-01-25 22:39:45,8074.0,26742,8074.5,541260,17991,74869,-56878,-514518,0.5
1900-01-25 22:40:00,8071.5,67101,8072.0,499426,24,78105,-78081,-432325,0.5
1900-01-25 22:40:15,8069.0,398067,8069.5,170799,35031,183217,-148186,227268,0.5
1900-01-25 22:40:30,8069.0,842944,8069.5,23023,56795,7882,48913,819921,0.5
1900-01-25 22:40:45,8074.5,275173,8075.0,166351,94720,64002,30718,108822,0.5
1900-01-25 22:41:00,8075.0,675987,8075.5,85969,17886,64340,-46454,590018,0.5
1900-01-25 22:41:15,8079.5,449492,8080.0,136107,43620,3977,39643,313385,0.5
1900-01-25 22:41:30,8079.5,417308,8080.0,211358,4203,7317,-3114,205950,0.5
1900-01-25 22:41:45,8079.5,1169754,8080.0,483194,3600,506,3094,686560,0.5
1900-01-25 22:42:00,8079.5,1608428,8080.0,67446,35862,1,35861,1540982,0.5
1900-01-25 22:42:15,8080.5,573911,8081.0,9725,74870,2607,72263,564186,0.5
1900-01-25 22:42:30,8080.5,867087,8081.0,61122,8396,650,7746,805965,0.5
1900-01-25 22:42:45,8080.5,826083,8081.0,26289,34654,200,34454,799794,0.5
1900-01-25 22:43:00,8080.5,911725,8081.0,18795,25086,200,24886,892930,0.5
1900-01-25 22:43:15,8080.5,539479,8081.0,444062,16880,3183,13697,95417,0.5
1900-01-25 22:43:30,8080.5,158574,8081.0,646841,1536,49773,-48237,-488267,0.5
1900-01-25 22:43:45,8080.5,143872,8081.0,626349,1536,82100,-80564,-482477,0.5
1900-01-25 22:44:00,8077.5,97194,8078.0,1029269,1536,67509,-65973,-932075,0.5
1900-01-25 22:44:15,8073.5,667640,8074.0,18137,6123,56323,-50200,649503,0.5
1900-01-25 22:44:30,8071.5,15084,8072.0,1267138,16758,7000,9758,-1252054,0.5
1900-01-25 22:44:45,8071.0,154356,8071.5,540082,12730,28495,-15765,-385726,0.5
1900-01-25 22:45:00,8070.0,500885,8070.5,793131,2120,96794,-94674,-292246,0.5
1900-01-25 22:45:15,8070.0,597672,8070.5,1200174,1050,98341,-97291,-602502,0.5
1900-01-25 22:45:30,8070.0,131460,8070.5,1272620,40838,125596,-84758,-1141160,0.5
1900-01-25 22:45:45,8063.5,6430,8064.0,688310,16795,267757,-250962,-681880,0.5
1900-01-25 22:46:00,8060.5,447509,8061.0,33628,20053,87074,-67021,413881,0.5
1900-01-25 22:46:15,8065.0,228047,8065.5,17411,487592,18300,469292,210636,0.5
1900-01-25 22:46:30,8065.5,444047,8066.0,8220,6436,3400,3036,435827,0.5
1900-01-25 22:46:45,8067.0,303851,8067.5,331697,65947,7000,58947,-27846,0.5
1900-01-25 22:47:00,8067.0,219154,8067.5,175309,201321,13871,187450,43845,0.5
